price,nox
34700,4.6900001
27100,5.2399998
18900,5.2399998
15000,5.2399998
18900,5.2399998
21700,5.2399998
20200,5.3800001
18200,5.3800001
14500,5.3800001
15600,5.3800001
13900,5.3800001
16600,5.3800001
13668,4.9899998
34899,4.2800002
25301,4.48
24701,4.48
19400,4.48
32562,4.1100001
23300,4.5300002
19600,4.5300002
23501,3.98
19400,3.98
22000,4.0900002
21700,4.1300001
22800,4.1300001
21400,4.3699999
21200,4.3699999
20300,4.3699999
28001,4.2600002
23899,4.2600002
22900,4.2600002
22501,4.4899998
22600,4.8899999
20600,4.6399999
33200,4.4499998
20100,5.1999998
19500,5.1999998
20400,5.1999998
19400,5.1999998
19300,5.8099999
14300,6.2399998
19600,6.2399998
17100,6.2399998
13300,6.2399998
14000,6.2399998
13400,8.71
15600,8.71
11800,8.71
13800,8.71
15600,8.71
14600,8.71
15400,8.71
21500,8.71
15300,8.71
19400,8.71
17000,8.71
24299,6.0500002
50001,6.0500002
50001,6.0500002
24999,6.0500002
50001,6.0500002
23100,5.0999999
23600,5.0999999
24600,5.0999999
37201,4.8800001
39799,4.8800001
37900,4.8800001
26399,4.8800001
29599,4.8800001
32000,4.3699999
29801,4.3699999
30501,4.3699999
36399,4.3699999
31101,4.0100002
50001,4.2199998
24101,4.1500001
48499,4.1599998
50001,4.1599998
24399,4.8899999
20000,4.8899999
23001,5.5
21700,5.0700002
27499,5.0700002
30101,5.0700002
44802,5.04
31600,5.04
46700,5.04
24299,5.04
25099,5.0700002
23699,4.2800002
23300,4.2800002
22000,4.2800002
23699,4.2800002
17600,4.3099999
20500,4.3099999
24499,4.3099999
26200,4.3099999
24800,4.3099999
36001,6.4699998
30101,6.4699998
22800,6.4699998
50001,5.75
20700,4.6399999
21100,4.6399999
25200,4.6399999
32400,4.4699998
32000,4.4699998
45401,4.4299998
46000,4.4299998
50001,4.0100002
32199,4
27901,4.1100001
23899,4.3699999
21700,4.3699999
28601,4.3699999
20300,4.3699999
22000,4.3299999
26399,4.3299999
28399,4.7199998
20300,5.4400001
16100,5.4400001
22099,5.4400001
16200,5.4400001
17800,5.4400001
19800,5.4400001
21000,5.4400001
23100,4.9299998
24600,4.9299998
23001,4.9299998
22600,4.5999999
19500,5.1500001
20548,5.1500001
19000,5.1500001
18700,5.1500001
32778,4.4200001
16500,5.1799998
31201,4.8400002
26601,4.29
22900,4.29
24101,4.1100001
18600,4.1100001
17794,7.6999998
22700,7.6999998
22600,7.6999998
24999,7.6999998
19900,7.6999998
21900,7.1799998
50001,6.3099999
50001,6.3099999
50001,6.6799998
13900,6.71
13300,6.71
10200,6.71
10900,6.71
11300,7
12300,7
7400,7
23200,7
9700,7
13800,6.9299998
12700,6.9299998
8500,6.9299998
8500,6.9299998
27901,6.5900002
17200,5.9699998
10400,6.79
8400,7.1799998
13400,6.1399999
8300,6.79
11000,6.79
9600,7.4000001
8700,7.4000001
8400,7.4000001
12800,7.4000001
10500,7.4000001
15400,7.4000001
10800,7.4000001
11800,7.4000001
14900,7.4000001
14100,7.1300001
13400,7.1300001
15200,7.1300001
14900,7.1300001
14100,7.1300001
12700,7.1300001
13500,7.1300001
19500,7.1300001
21400,6.5500002
16700,6.1399999
12000,6.1399999
21400,6.1399999
23001,5.3200002
20600,5.8299999
21200,5.8299999
19100,5.8299999
15200,6.0900002
20100,6.0900002
24499,5.8499999
23100,5.8499999
19700,5.8499999
18300,5.8499999
21200,5.8499999
16800,5.8499999
23899,5.73
11900,5.73
